name,address,city,state,zip,phone,Facebook,Instagram,Twitter,Email
Sweet Reads Books,407 North Main,Austin,MN,55912,(507)396-8660,https://www.facebook.com/sweetreadsbooks/,,,sweetreadsbooks@gmail.com
Planting People Growing Justice,1832 East 35th Street,Minneapolis,MN,55407-2372,(651)303-0729,https://www.facebook.com/ppgjbooks,@ppgjbooks,,plantingpeoplegrowingjustice@gmail.com
Little Professor Book Center,110 West Park Square,Owatonna,MN,55060,(507)455-0969,https://www.facebook.com/pages/little%20professor%20book%20center/111464105561114/,,,littleprofessor8@gmail.com
Subtext Bookstore,6 West 5th St.,St Paul,MN,55102,(651)493-2791,https://www.facebook.com/subtextabookstore?fref=ts,subtextbooks,subtextbooks,subtextinfo@gmail.com
Fox Den Books,Fox Den Books,River Falls,WI,54022,(715)425-6180,https://www.facebook.com/FoxDenUsedBooks/,foxdenbooks,,foxdenbooks@gmail.com
Fair Trade Books,320 Bush Street,Red Wing,MN,55066,(651)800-2030,https://www.facebook.com/fairtradebooks/,fairtradebooksrw/?hl=en,fairtrade_books,fairtradebooksrw@gmail.com
Books and Bakery,513 North Adams Street,Carroll,IA,51401-2728,7127752888,https://www.facebook.com/booksandbakeryllc,booksandbakeryllc,booksnbakery,booksandbakeryllc@gmail.com
Willa’s Books and Vinyl,5547 Troost Avenue,Kansas City,MO,64110-2821,(816)419-1051,https://www.facebook.com/willasbooks/,,WillasBooks,
Town House Books,105 North Second Avenue,St. Charles,IL,60174,(639)584-8600,http://facebook.com/townhousebooks/,townhousebooks/,townhousebooks?lang=en,heidi@townhousebooks.com
KD's Books,241 Southeast Main Street,Lee's Summit,MO,64063,(816)525-1366,https://www.facebook.com/kdsbooksls,kdsbooksls,,tina@kdsbooksls.com
Elleinad Books,5930 S 58th Street,Lincoln,NE,68516,605.261.9711,,elleinadbooks,,contactelleinad@gmail.com
The Brewed Book,1524 North Harrison Street,Davenport,IA,52803,(563)340-8664,https://www.facebook.com/thebrewedbook/,thebrewedbook,,tonyfuhs@gmail.com
Leopold's Books Bar Caffè,1301 Regent St,Madison,WI,53715,(608)236-9322,https://www.facebook.com/leopoldsmadison,leopolds_madison,,info@leopoldsmadison.com
Next Chapter Booksellers,38 Snelling Avenue South,St Paul,MN,55105,(651)225-8989,https://www.facebook.com/nextchapterbooksellers/,nextchapterbooksellers,NextChapterMN,DavidE@nextchapterbooksellers.com
The Bookstore of Glen Ellyn,475 N. Main Street,Glen Ellyn,IL,60137,(630)469-2891,https://www.facebook.com/the-bookstore-of-glen-ellyn-179227424477/?ref=bookmarks,bookstoreofge,bookstoreofge,info@bookstoreofge.com
Excelsior Bay Books,36 Water Street,Excelsior,MN,55331,(952)401-0932,https://www.facebook.com/pages/excelsior-bay-books/242816282083?fref=ts,excelsiorbaybooks/?hl=en,ExcelsiorBay,excelsiorbaybooks@gmail.com
La Revo Books,3016 West Layton Avenue,Greenfield,WI,53221,(414)736-0424,https://www.facebook.com/larevobooks/,larevobooks,booksrevo,larevobooks@gmail.com
Paper Moon,206 A St,Mc Gregor,IA,52157,(563)500-1994,https://www.Facebook.com/papermoonmcgregor,@papermoonmcgregor,,jennypapermoon@gmail.com
Bookie's Bookstore,10324 S. Western Ave.,Chicago,IL,60643,(773)239-1110,https://www.facebook.com/bookieschicago/,https://www.instagram.com/bookieschicago/?hl=en,BookiesChicago,keith@bookiesbookstores.com
The Book Shoppe,817 Story St.,Boone,IA,50036,(515)432-2556,https://www.facebook.com/thebookshoppeinc/,,,thebookshoppe.inc@gmail.com
Thimbleberry Books,166 South Central Avenue,Marshfield,WI,54449,(715)387-3049,https://www.facebook.com/ThimbleberryBooks/,,,thimbleberrybooks@gmail.com
Afterwords Books,441 E Vandalia St,Edwardsville,IL,62025,(618)655-0355,https://www.facebook.com/afterwords-books-96867750344,afterwordsbooks,afterwords2?lang=en,help@afterwordsbooks.com
Lake Country Booksellers,4766 Washington Square,White Bear Lake,MN,55110,(651)426-0918,https://www.facebook.com/pages/lake-country-booksellers/191453436875?ref=br_tf,,,booksellers@earthlink.net
Lionseed Bookstore & Learning Commons,102 W Summit St,Battle Lake,MN,56515,(218)210-0506,http://www.facebook.com/thelionseed,,,info@thelionseed.com
Birchbark Books & Native Arts,2115 W 21st Street,Minneapolis,MN,55405,(612)374-4023,https://www.facebook.com/birchbarkbooks,birchbark_books,birchbarkbooks,nate@birchbarkbooks.com
Buffalo Books & Coffee,6 Division Street East,Buffalo,MN,55313,(763)682-3147,https://www.facebook.com/pages/buffalo-books-coffee/144327975603116?fref=ts,buffalobooks/?hl=en,Buffalo_Books,info@buffalo-books.com
Prairie Lights Books,15 S Dubuque Street,Iowa City,IA,52240,(319)337-2681,https://www.facebook.com/prairie-lights-bookstore-27924083261/,prairielightsbooks/?hl=en,Prairie_Lights,info@prairielights.com
Flint Hills Books,130 W. Main Street,Council Grove,KS,66846,(620)767-5054,https://www.facebook.com/flinthillsbooks,flinthillsbooks,,jennifer@flinthillsbooks.com
InkLink Books,2890 Main Street,East Troy,WI,53120,(262)642-9607,https://www.facebook.com/inklinkbooks/,inklinkbooks,,kayleen@inklinkbooks.com
Spinster Books,313 W Main Street,Ashland,WI,54806,(715)292-6402,https://www.facebook.com/groups/476404832512425/,,,jill@spinsterbooks.com
Zandbroz Variety Fargo,420 Broadway N,Fargo,ND,58102,(701)239-4729,https://www.facebook.com/zandbrozvariety/,,ZandbrozVariety,greg@zandbroz.com
OtherWorlds Books & More,41 N 3rd Ave,Sturgeon Bay,WI,54235,(920)600-1690,https://www.facebook.com/otherworlds-books-more-250916755442802,otherworlds18/?hl=en,,otherworlds18@gmail.com
Apostle Islands Booksellers,112 Rittenhouse Ave,Bayfield,WI,54814,(715)779-0200,https://www.facebook.com/apostleislandsbooksellers,aibooks/?hl=en,,info@apostleislandsbooksellers.com
Boswell Book Company,2559 N Downer Avenue,Milwaukee,WI,53211,(414)332-1181,https://www.facebook.com/boswellbooks/,boswellbookco,boswellbooks,daniel@boswellbooks.com
Driftless Books,159 Main Street West,Wabasha,MN,55981,(651)380-9035,https://www.facebook.com/wabashareads/,Driftlessbooks ,,Driftlessbooks159@gmail.com
The Sly Fox,P.O. Box 117,Virden,IL,62690,(217)965-3641,https://www.facebook.com/the-sly-fox-bookstore-125039960877697/,,,slyfox@royell.org
Honest Dog Books,38 S. Second Street,Bayfield,WI,54814,(715)779-5223,https://www.facebook.com/honestdogbooks,honestdogbooks,bookshonest,info@honestdogbooks.com
Garden Party Books,602 7th St NW,Rochester,MN,55901,(858)240-9044,https://www.facebook.com/GardenPartyBooksMN/,gardenpartybooksmn,GardenPartyMN,anna@gardenpartybooks.com
Book People,2923 Hamilton Boulevard,Sioux City,IA,51104,(712)258-1471,https://www.facebook.com/bookpeoplesiouxcity/,,Book_People_SC,bookpeople2923@gmail.com
Burlington by the Book,301 Jefferson Street,Burlington,IA,52601,(319)753-9981,https://www.facebook.com/BurlingtonBytheBook-62537491312,,,burlbythebook@yahoo.com
Mystery to Me,1863 Monroe St,Madison,WI,53711,(608)283-9332,https://www.facebook.com/mysterytomebooks,mysterytomebooks,mysterytomebooks,joanne@mysterytomebooks.com
Siena Retreat Center,5637 Erie Street,Racine,WI,53402,(262)898-2587,https://www.facebook.com/SienaRetreatCenter/,sienaretreatcenter,SienaRetreatCen,retreats@sienaretreatcenter.org
Printed,242 Vermont Rd,Frankfort,IL,60423,(571)286-8018,https://www.facebook.com/profile.php?id=100084840084246,printed_bookshop,,Printedbookshop@gmail.com
Sweets ‘N Stories,509 Main Ave.,Oakes,ND,58474,(701)742-2007,https://www.facebook.com/pages/sweets-n-stories/342386529795,,,phroney@drtel.net
Betty's Books,10 Summit Avenue,Saint Louis,MO,63119,(314)279-1731,https://www.facebook.com/BettysBooksSTL/,bettysbooksstl,bettysbooksstl,betty@bettysbooksstl.com
Twinflower Books,280 Andrews Avenue,Center City,MN,55012-9677,(651)505-6765,https://www.facebook.com/TwinflowerBooks,twinflowerbooks,,contact@twinflowerbooks.com
Emily's Used Books,18318 State Highway 371,Brainerd,MN,56401,(218)825-0495,https://www.facebook.com/emilysusedbooks,,,greatreading@emilysbooks.net
Book Break,63 Birch Ave S. PO Box 185,Maple Lake,MN,55358,(320)963-1918,https://www.facebook.com/bookbreakmaplelake/,,,bookbreak20@gmail.com
Northwind Book & Fiber,205 Walnut Street,Spooner,WI,54801,(715)635-6811,https://www.facebook.com/pages/northwind-book-fiber/117003675042798?fref=ts,,,northwind@northwindbook.com
Raven Book Store,809 Massachusetts St.,Lawrence,KS,66044,(785)749-3300,https://www.facebook.com/ravenbookstore,ravenbookstore,ravenbookstore,danny@ravenbookstore.com
Swamp Fox Bookstore,809 6th Avenue #6,Marion,IA,52302,(319)651-8536,https://www.facebook.com/swampfoxbookstore/,swampfoxbookstore,,info@swampfoxbookstore.com
Valley Bookseller,217 N Main Street,Stillwater,MN,55082,(651)430-3385,https://www.facebook.com/pages/valley-bookseller/176344518826?fref=ts,valleybookseller,valleybkseller,gretchen@valleybookseller.com
Chapters Books & Gifts,548 Seward Street,Seward,NE,68434,(402)643-2282,https://www.facebook.com/chaptersbooksandgifts?fref=ts,chaptersbooksandgifts/,sewardchapters,chapters@windstream.net
Raccoon River Press,5316 Brookview Dr.,West Des Moines,IA,50266,(515)318-7445,https://www.facebook.com/raccoonriverpress,raccoonriverpress,RaccoonRiverPr,administrator@raccoonriverpress.com
Books on Broadway,12 1/2 West Broadway,Williston,ND,58801,(701)572-1433,https://www.facebook.com/booksonbroadwaywilliston/,booksonbroadwaywilliston,booksonbroadwa2,bksbdwy@nemont.net
Dog·Eared Books,203 Main Street,Ames,IA,50010,(515)598-7508,https://www.facebook.com/dogearedbooksames,dogearedbooksames,,amanda@dogearedbooksames.com
Snowbound Books,118 N 3rd St.,Marquette,MI,49855,(906)228-4448,https://www.facebook.com/snowboundbooks/?fref=ts,snowboundbooks,snowboundbooks,snowboundbooks@live.com
Little Bean Books,875 Main Street,Antioch,IL,60002,(224)360-9616,https://www.facebook.com/littlebeanbooks/,littlebean_books,,angela@littlebeancoffeeco.com
Books & Company,1039 Summit Ave,Oconomowoc,WI,53066,(262)567-0106,https://www.facebook.com/bookscowi/,books_n_co,books_n_co,info@booksco.com
The Irreverent Bookworm,5163 Bloomington Ave S,Minneapolis,MN,55417,,https://www.facebook.com/theirreverentbookworm/,irrevbooks/?hl=en,,donovan@irrevbooks.com
"The Bookworm, Omaha","2501 South 90th St., Suite 111",Omaha,NE,68124,(402)392-2877,https://www.facebook.com/bookwormomaha,bookwormomaha/?hl=en,BookwormOmaha,info@bookwormomaha.com
Pearl Street Books,323 Pearl Street,La Crosse,WI,54601,(608)782-3424,https://www.facebook.com/PSBooks,pearlstreetbooks,,info@pearlstbooks.com
Black Ice Comics & Books,503 Shelden Avenue,Houghton,MI,49931,(906)523-7500,http://facebook.com/blackicecomicshop,blackicecomics,blackicecomics,shana.blackicecomics@gmail.com
Pagination Bookshop,1150 E. Walnut St.,Springfield,MO,65806,(805)813-0126,https://www.facebook.com/paginationbookshop/,paginationbookshop,PaginationBooks,paginationbookshop@gmail.com
River Dog Book Co.,W832 Froelich Road,Sullivan,WI,53178,(609)462-9909,https://www.facebook.com/riverdogbookco/,riverdogbookco,RiverDogBookCo,broche@riverdogbookco.com
Harvey's Tales,216 James St.,Geneva,IL,60134,(630)232-2991,https://www.facebook.com/harveys-tales-790825101042041/,harveystales/?hl=en,HarveysTales1,harveystales@gmail.com
Shady Character Books,212 Edgewood Road NW,Cedar Rapids,IA,52405,(319)396-8420,http://facebook.com/shadycharacterbooks,shady_character_books,,Contact@shadycharacterbooks.com
Redbery Books,43455 Kavanaugh Rd,Cable,WI,54821,(715)798-5014,https://www.facebook.com/pages/redbery-books/51474867685?fref=ts,redberybooks,RedberyBooks,read@redberybooks.com
The Book Mark Gustavus-Adolphus,Gustavus Adolphus College,St. Peter,MN,56082,(507)933-6017,https://www.facebook.com/gustiebookmark?ref=ts,gustavusbookmark,gustavus,myunkers@gustavus.edu
Red Balloon Bookshop,891 Grand Avenue,St. Paul,MN,55105,(651)224-8320,https://www.facebook.com/pages/red-balloon-bookshop/57107564076?fref=ts,redballoonbookshop/?hl=en,RedBalloonBooks,info@redballoonbookshop.com
Amazing Alonzo Bookstore,1831 E Superior St,Duluth,MN,55812,218-724-3431,https://www.facebook.com/amazingalonzo/,amazingalonzobookstore,,amazingalonzo.bookstore@gmail.com
The Noir Bookshop,2317 Cherokee Street,St. Louis,Missouri,63118-3228,,,thenoirbookshop,,thenoirbookshop@gmail.com
The Willow Bookstore,126 W Main St.,Perham,MN,56573,(218)457-0402,https://www.facebook.com/thewillowbookstore/,thewillowbookstore,,megmwell@gmail.com
Yellow Dog Bookshop,8 South Ninth Street,Columbia,MO,65201,(573)442-3330,https://www.facebook.com/yellowdogbookshop/,yellowdogbookshop,YellowDogSpeaks,yellowdogbookshop@gmail.com
The Book Vault,105 S Market Street,Oskaloosa,IA,52577,(641)676-1777,https://www.facebook.com/book-vault-953940208121042/,bookvaultoskaloosa,,info@bookvault.org
Chapter One,7924 Victoria Drive,Victoria,MN,55386,(952)443-0681,https://www.facebook.com/chapteronemn,chapteronemn,,chapteronemn@gmail.com
"Reader's Realm Gallery of Books, Gifts & Whimsy",147 East Montello St,Montello,WI,53949,(608)297-2200,https://www.facebook.com/readers-realm-gallery-of-new-gently-used-books-gifts-and-whimsy-1490032584610070/,,,readersrealm@outlook.com
The Green Dragon Bookshop,9 North 11th Street,Fort Dodge,IA,50501,(515)230-2663,https://www.facebook.com/thegreendragonbookshop,thegreendragonbookshop,,thegreendragonbookshop@gmail.com
A Room of One's Own Bookstore,2717 Atwood Avenue,Madison,WI,53704,(608)257-7888,https://www.facebook.com/pages/a-room-of-ones-own-bookstore/194452425573?fref=ts,roomofonesownbooks/?hl=en,roomofonesown,gretchen@roomofonesown.com
Back Forty Books,625 7th Ave,Two Harbors,MN,55616,(218)834-9215,https://www.facebook.com/backfortybooks/,backfortybooks,SweetPeasBooks,norshorekatie@gmail.com
Reads by the River,102 East Main Street,Waterford,WI,53185,(262)720-7323,https://www.facebook.com/readsbytheriverbookstore,readsbytheriverbookstore,,readsbytheriver@gmail.com
Beagle and Wolf Books & Bindery,112 3rd Street W,Park Rapids,MN,56470,(218)237-2665,https://www.facebook.com/beagle-and-wolf-books-bindery-83860651879/,beagleandwolf,BeagleBooks,sally@beagleandwolf.com
Mayday Books,301 Cedar Ave,Minneapolis,MN,55454,(612)333-4719,https://www.facebook.com/profile.php?id=100006261243888&ref=bookmarks,,maydaybooksmpls,maydaybookstore@gmail.com
Books on First,202 W First St,Dixon,IL,61021,(815)285-2665,https://bookshop.org/shop/booksonfirst,bookson1st,booksonfirst,chin@booksonfirst.com
The Next Chapter,2508 Farnam Street,Omaha,NE,68131,(531)218-7996,https://www.facebook.com/nextchapteromaha/?modal=admin_todo_tour,thenextchapteromaha,nextchapterne,thenextchapterbooksandgifts@gmail.com
Round Table Bookstore,826 North Kansas Avenue,Topeka,KS,66608,(785)329-5366,https://www.facebook.com/roundtablebookstore/?ref=bookmarks,roundtablebookstore,roundtablebks,roundtablebookstore@gmail.com
Bobzbay,419 N Main Street,Bloomington,IL,61701,(309)740-2012,http://www.facebook.com/bobzbay,bobzbay,bobzbay,bob@bobzbay.com
Subterranean Books,6271 Delmar Blvd,St. Louis,MO,63130,(314)862-6100,https://www.facebook.com/subterraneanbooks/,subbooks,subbooks,info@subbooks.com
Stonecrest Book & Toy,"3797 Osage Beach Pkwy, Suite G-2",Osage Beach,MO,65065,(573)348-4788,https://www.facebook.com/stonecrest.bookntoy,,,stonecrest2009@live.com
Fair Isle Books & Gifts,1885 Detroit Harbor Rd.,Washington Island,WI,54246,(920)847-2565,https://www.facebook.com/pages/islandtime-books-and-more/81965507730,fairislebooks,fairislebooks,fairisleshop@gmail.com
Dundee Book Company,4915 Underwood Avenue,Omaha,NE,68132,(402)516-2141,https://www.facebook.com/dundeebookco,dundeebookco,DundeeBookCo,ted@dundeebook.co
Skylark Bookshop,22 S 9th Street,"Columbia, MO",MO,65201,(573)239-3734,https://www.facebook.com/skylarkbookshop/,SkylarkBookshop,SkylarkBookshop,mail@skylarkbookshop.com
Janke Book Store,505 Third Street,Wausau,WI,54403,(715)845-9648,https://www.facebook.com/pages/janke-book-store/123576537746717,,JankeBookStore,esox5@charter.net
Main Street Books WI,190 E Main St.,Reedsburg,WI,53959,(608)415-7323,https://www.facebook.com/main-street-books-571928826186577/?tn-str=k*f,,,msbooks190@gmail.com
Paper June,927 N Kansas Ave,Topeka,KS,66608,(785)408-1878,https://www.facebook.com/paperjunebooks,paperjunebooks,,angie@paperjune.com
Sidekick Coffee & Books,1310 1/2 Melrose Avenue,Iowa City,IA,52246,(319)569-1010,https://www.facebook.com/sidekickcoffeeandbooks,sidekickcoffeeandbooks,,sidekickcoffeeandbooks@gmail.com
The Webster Groves Bookshop,27 North Gore Avenue,Saint Louis,MO,63119,(314)968-1185,https://www.facebook.com/Webster-Groves-Bookshop-153345954709/,,,thewebstergrovesbookshop@gmail.com
Left Bank Books,399 N Euclid Avenue,St. Louis,MO,63108,(314)367-6731,https://www.facebook.com/leftbankbooks.stl/,leftbankbooks/,LeftBankBooks,info@left-bank.com
River Lights Bookstore,1098 Main Street,Dubuque,IA,52001,(563)556-4391,https://www.facebook.com/rlbdbq/,river_lights,RLB2e,sue@riverlights.com
The Bookstore at Fitgers,600 E Superior Street,Duluth,MN,55802,(218)727-9077,https://www.facebook.com/fitgersbooks/,fitgersbooks/?hl=en,FitgersBooks,bookstore@fitgers.com
Main Street Books MO,307 South Main Street,St. Charles,MO,63301,(636)949-0105,https://www.facebook.com/pages/main-street-books-st-charles-mo/322859259329?fref=ts,mainstreetbooksstcharles/,mainstreetbooks,mainstreetbooksstcharles@gmail.com
The Book Store,293 W Northland Ave,Appleton,WI,54911,(920)734-8908,https://www.facebook.com/thebookstoreappleton,thebookstoreappletonwi,book_wi,bavinckbooksllc@gmail.com
Whimsy on Main,214 S. Main St.,Milbank,SD,57252,(605)949-9238,https://www.facebook.com/whimsy-on-main-796697700475460/,whimsyonmain,whimsybooks,whimsymilbank@gmail.com
Rolla Books & Toys,1000 S Bishop Ave,Rolla,MO,65401,(573)368-4155,https://www.facebook.com/rollabooktoy/,rollabooktoy/?hl=en,,rollabooktoy@gmail.com
Crow & Co. Books,2 S Main St.,Hutchinson,KS,67501,(620)500-5200,https://www.facebook.com/crowandcobooks,crowandcobooks,,sara.crow@crowandcobooks.com
Brick Road Books,3183 155th Street,Cumming,IA,50061,(515)422-2864,,brickroadbooksiowa,,heather@brickroadbooks.org
Kismet Books,101 N Main St.,Verona,WI,53593,(608)845-2500,http://facebook.com/kismetbooks,kismetbookshop,kismet_books,rye@kismetbookshop.com
Reading in Public Bookstore + Cafe,315 5th Street,West Des Moines,IA,50265,(515)724-9462,https://www.facebook.com/readinginpublicbooks,readinginpublicbooks,,linzi@readinginpublic.com
Da Book Joint,330 E 51st St,Chicago,IL,60653,(773)655-3146,https://www.facebook.com/DaBookJoint/,dabookjoint,dabookjoint,verlean@dabookjoint.com
Drury Lane Books,12 E Wisconsin Street,Grand Marais,MN,55604,12183873370,https://www.facebook.com/drurylanebooks/,drurylanebooks,,store@drurylanebooks.com
"Pioneer Bookshop, Grinnell College",933 Main Street,Grinnell,IA,50112,(641)269-3424,https://www.facebook.com/grinnellcollegebookstore/,,,bookstore@grinnell.edu
The Village Booksmith,526 Oak Street,Baraboo,WI,53913,(608)355-1001,https://www.facebook.com/Village-Booksmith-113401842159467,,,books@villagebooksmith.com
Yardstick Books,317 Steele Street,Algoma,WI,54201,(920)487-8174,https://www.facebook.com/yardstickalgoma/,yardstick.algoma,,heidi@yardstickalgoma.com
Niche Book Bar,5811 W Wisconsin Ave,Wauwatosa,WI,53213,(414)534-3995,,,,info@findyournichemke.com
Arcadia Books,102 E Jefferson Street,Spring Green,WI,53588,(608)588-7638,https://www.facebook.com/arcadiabooks/,arcadiabooks/?hl=en,arcadiabook,nancyb@readinutopia.com
Open Book MSP,4300 Glumack Drive,Saint Paul,MN,55111,,https://www.facebook.com/open-book-at-msp-1766495770330525/,,openbookatmsp,debra@debracadabrainc.com
Mattingly Music & Books,113 West 2nd Street North,Newton,IA,50208-3251,(641)792-3250,https://www.facebook.com/MattinglyMusicBookHobby,,,mattinglymusic@mediacombb.net
Scout & Morgan Books,114 Buchanan Street North,Cambridge,MN,55008,(763)689-2474,https://www.facebook.com/scoutmorganbooks,scoutmorganbooks,scoutandmorganbook,books@scoutandmorganbooks.com
Whistle-Stop Rare Books,S42W31260 WI-83,Genesee Depot,WI,53127,(262)875-6876,https://www.facebook.com/rarevisionbooks,rarevisionbooks,,susan@rarevisionbooks.com
Strive Bookstore,80 South 8th Street,Minneapolis,MN,55402,(763)270-5738,http://www.facebook.com/strivepublishing/,StrivePub,strivepub,mary@strivepublishing.com
Daydream Believer Books and Gifts,130 East Lake Street,Lake Mills,WI,53551,(920)648-5100,https://www.facebook.com/daydreambelieverbooksandgifts,,,daydreambelieverbooks@outlook.com
Four Pines Bookstore,102 3rd Street Northwest,Bemidji,MN,56601,,,,,gjgrinde@gmail.com
Dragon Tale Books,216 Main Street East,Menomonie,WI,54751,(715)233-6252,https://www.facebook.com/dragontalebooks,dragontalebooks,dragontalebooks,yourfriends@dragontalebooks.store
Chapter2books,226 Locust Street,Hudson,WI,54016,(715)220-8818,https://www.facebook.com/chapter2books-152180651513265/,chapter2bookshudson,chapter2books,brian@chapter2books.com
Prologue. Books & Wine,213 North Main Street,Charles City,IA,50616,(641)220-8567,http://facebook.com/Prologuebooksandwine,prologuebooksandwine,,darci@prologuebooksandwine.com
Downtown Book & Toy,125 East High Street,Jefferson City,MO,65101,(573)635-1185,https://www.facebook.com/dtbt2,downtownhazelbooks,,dthazel1897@gmail.com
Flagship Books,600 Ohio Avenue,Kansas City,KS,66101,,https://www.facebook.com/flagshipbooks/,flagshipbooks,,flagshipbooks@gmail.com
A Novel Idea Bookstore,118 N. 14th Street,Lincoln,NE,68508,(402)475-8663,http://www.facebook.com/anovelidealincoln,anovelidea118,,staff@anovelideabookstore.com
Monarch Books & Gifts,7713 W. 151st St,Overland Park,KS,66223,(913)766-8646,https://www.facebook.com/monarchbooksandgifts,monarchinkc,,info@monarchbooksandgifts.com
Wise Blood Booksellers,4045 Broadway Boulevard,Kansas City,MO,64111,(816)960-3775,http://www.facebook.com/wisebloodkc,wisebloodkc,wisebloodkc,wisebloodkc@gmail.com
Books & Burrow,212 S Broadway,Pittsburg,KS,66762,(620)238-5330,https://www.facebook.com/booksandburrow/,booksandburrow,,booksandburrow@outlook.com
Lion's Tooth,2421 S Kinnickinnic Ave,Milwaukee,WI,53207,(414)455-3498,https://www.facebook.com/lionstoothmke,lionstoothmke,lionstoothmke,lionstoothmke@gmail.com
BayShore Books,302 Collins Avenue,Oconto,WI,54153,(920)834-3220,https://www.facebook.com/bayshorebooksllc,bayshorebooks,BayShoreBooks,bayshorebooks@gmail.com
Content Bookstore,314 Division Street South,Northfield,MN,55057,(507)222-9238,https://www.facebook.com/contentbookstore,contentbooks,contentbooks,info@contentbookstore.com
The Thinking Spot,3311 County Road 101,Wayzata,MN,55391,(612)860-2428,http://www.facebook.com/thethinkingspot,thinkingspotus,thinkingspotus,rima@thethinkingspot.us
Travelin' Storyseller,379 W Charlotte Street,River Falls,WI,54022,(773)304-6793,,,,TravelinStoryseller@gmail.com
"Comma, a bookshop",4250 Upton Avenue South,Minneapolis,MN,55410-1368,6512491823,http://www.facebook.com/commabookshop,commabookshop,,victoria@commabookshop.com
Ferguson Books of Bismarck,413 East Broadway Ave,Bismarck,ND,58501,(701)751-0708,http://www.facebook.com/fergusonbooks,fergusonbooks,FergsBooks,dane@fergusonbooks.com
DDR Books,7 South Maple,Watertown,SD,57201,(605)868-3705,https://www.facebook.com/officialddrbooks/,offical_ddr_books/?hl=en,officialddrbooks,ddrbooks@wat.midco.net
Main Street Books ND,8 South Main Street,Minot,ND,58701,(701)839-4050,https://www.facebook.com/mainstreetbooksminot,,MSBooksMinot,mainstreetbooks@srt.com
Rivendell Bookstore,212 N. Broadway,Abilene,KS,67410,(785)263-9930,https://www.facebook.com/pages/rivendell-bookstore/124741534267705,,RivendellBook,info@rivendellbookstore.com
The Book Vine,204 W Main Street,Cherokee,IA,51012,(712)225-2445,https://www.facebook.com/book.cherokee/,,,Bookvine.cherokee@gmail.com
Bliss Books & Wine,3502 Gillham Road,Kansas City,MO,64111,(816)226-7720,http://www.facebook.com/blissbookswine,bliss_books_wine_kc,BlissBooksWine,info@blissbooksandwine.com
