ARTG ID,Approval Area,Sponsor,ARTG Start Date,Product Category,Manufacturer Name,Manufacturer Location (Country),PDF URL
401797,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,4/1/2023,Medical Device?lass IIa,3Shape A/S Holmens Kanal 7 ,Denmark,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=401797&agid=(PrintDetailsPublic)&actionid=1
401145,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,15/12/2022,Medical Device?lass 2,Waters Corporation 34 Maple Street ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=401145&agid=(PrintDetailsPublic)&actionid=1
400421,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,1/12/2022,Medical Device?lass 2,Waters Corporation 34 Maple Street ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=400421&agid=(PrintDetailsPublic)&actionid=1
400334,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,29/11/2022,Medical Device?lass IIa,Wuhan MGI Tech Co Ltd Building 24 Stage 3 1 BioLake Accelerator No ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=400334&agid=(PrintDetailsPublic)&actionid=1
400133,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,24/11/2022,Medical Device?lass 1,APrevent Biotech GmbH Im Letten 3a ,Austria,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=400133&agid=(PrintDetailsPublic)&actionid=1
399615,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,17/11/2022,Medical Device?lass III,LeMaitre Vascular Inc 63 2nd Avenue ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=399615&agid=(PrintDetailsPublic)&actionid=1
399614,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,17/11/2022,Medical Device?lass III,LeMaitre Vascular Inc 63 2nd Avenue ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=399614&agid=(PrintDetailsPublic)&actionid=1
399597,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,17/11/2022,Medical Device?lass 1,Orthofix Inc 3451 Plano Parkway ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=399597&agid=(PrintDetailsPublic)&actionid=1
399531,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,16/11/2022,Medical Device?lass IIb,APrevent Biotech GmbH Im Letten 3a ,Austria,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=399531&agid=(PrintDetailsPublic)&actionid=1
399094,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,9/11/2022,Medical Device?lass IIb,Quanta System SPA Via Acquedotto 109 ,Italy,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=399094&agid=(PrintDetailsPublic)&actionid=1
398434,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,26/10/2022,Medical Device?lass 2,Hangzhou Bioer Technology Co Ltd 1192 BinAn Rd Binjiang District ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=398434&agid=(PrintDetailsPublic)&actionid=1
398433,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,26/10/2022,Medical Device?lass 1,Hangzhou Bioer Technology Co Ltd 1192 Bin An Rd ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=398433&agid=(PrintDetailsPublic)&actionid=1
398176,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,21/10/2022,Medical Device?lass IIa,Caption Health Inc 2000 Sierra Point Parkway Suite 800 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=398176&agid=(PrintDetailsPublic)&actionid=1
397672,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,13/10/2022,Medical Device?lass 1,Gleamer 5 Avenue de General de Gaulle ,France,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397672&agid=(PrintDetailsPublic)&actionid=1
397616,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,12/10/2022,Medical Device?lass IIa,Chemence Medical Inc 200 Technology Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397616&agid=(PrintDetailsPublic)&actionid=1
397451,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,11/10/2022,Medical Device?lass IIb,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397451&agid=(PrintDetailsPublic)&actionid=1
397209,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,7/10/2022,Medical Device?lass IIb,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397209&agid=(PrintDetailsPublic)&actionid=1
397205,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,7/10/2022,Medical Device?lass IIb,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397205&agid=(PrintDetailsPublic)&actionid=1
397132,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,6/10/2022,Medical Device?lass IIa,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397132&agid=(PrintDetailsPublic)&actionid=1
397110,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,6/10/2022,Medical Device?lass IIa,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397110&agid=(PrintDetailsPublic)&actionid=1
396879,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,4/10/2022,Medical Device?lass 1,Distimp SAS 7 Allee du Moulin Berger ,France,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396879&agid=(PrintDetailsPublic)&actionid=1
396873,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,4/10/2022,Medical Device?lass IIa,Crown Aesthetics 5005 Lyndon B Johnson Freeway Suite 370 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396873&agid=(PrintDetailsPublic)&actionid=1
396788,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,30/09/2022,Medical Device?lass IIb,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396788&agid=(PrintDetailsPublic)&actionid=1
396751,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,30/09/2022,Medical Device?lass IIa,Gleamer 5 Avenue de General de Gaulle ,France,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396751&agid=(PrintDetailsPublic)&actionid=1
396687,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,29/09/2022,Medical Device?lass IIa,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396687&agid=(PrintDetailsPublic)&actionid=1
396352,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,26/09/2022,Medical Device?lass IIa,SIM & CURE 95 rue Pierre Flourens ,France,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396352&agid=(PrintDetailsPublic)&actionid=1
396178,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,20/09/2022,Medical Device?lass 1,EnvisionTEC GmbH Bruesseler Strasse 51 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396178&agid=(PrintDetailsPublic)&actionid=1
396177,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,20/09/2022,Medical Device?lass 1,EnvisionTEC GmbH Bruesseler Strasse 51 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396177&agid=(PrintDetailsPublic)&actionid=1
396176,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,20/09/2022,Medical Device?lass 1,EnvisionTEC GmbH Bruesseler Strasse 51 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396176&agid=(PrintDetailsPublic)&actionid=1
396175,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,20/09/2022,Medical Device?lass 1,EnvisionTEC GmbH Bruesseler Strasse 51 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396175&agid=(PrintDetailsPublic)&actionid=1
396174,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,20/09/2022,Medical Device?lass 1,EnvisionTEC GmbH Bruesseler Strasse 51 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=396174&agid=(PrintDetailsPublic)&actionid=1
395958,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/09/2022,Medical Device?lass IIa,VITROMED GmbH Hans-Knoell-Strasse 6 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395958&agid=(PrintDetailsPublic)&actionid=1
395957,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/09/2022,Medical Device?lass IIa,VITROMED GmbH Hans-Knoell-Strasse 6 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395957&agid=(PrintDetailsPublic)&actionid=1
395952,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/09/2022,Medical Device?lass IIa,VITROMED GmbH Hans-Knoell-Strasse 6 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395952&agid=(PrintDetailsPublic)&actionid=1
395935,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/09/2022,Medical Device?lass 1,Multix Solutions Via Padre Rovagnati 2 ,Italy,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395935&agid=(PrintDetailsPublic)&actionid=1
395932,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/09/2022,Medical Device?lass 1,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395932&agid=(PrintDetailsPublic)&actionid=1
395884,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,13/09/2022,Medical Device?lass Is,NICO Corporation 250 East 96th Street Suite 125 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395884&agid=(PrintDetailsPublic)&actionid=1
395871,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,13/09/2022,Medical Device?lass 1,SMTP Technology Co Ltd 1F&4F Building A Emerging Industry Incubation,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395871&agid=(PrintDetailsPublic)&actionid=1
395675,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,8/9/2022,Medical Device?lass 1,EnvisionTEC GmbH Bruesseler Strasse 51 ,Germany,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395675&agid=(PrintDetailsPublic)&actionid=1
394571,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,24/08/2022,Medical Device?lass 1,Hangzhou Bioer Technology Co Ltd 1192 Bin An Rd ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394571&agid=(PrintDetailsPublic)&actionid=1
394570,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,24/08/2022,Medical Device?lass 1,Hangzhou Bioer Technology Co Ltd 1192 Bin An Rd ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394570&agid=(PrintDetailsPublic)&actionid=1
394250,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,23/08/2022,Medical Device?lass IIa,Kent Imaging Inc 804 - 16th Avenue SW ,Canada,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394250&agid=(PrintDetailsPublic)&actionid=1
394204,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,22/08/2022,Medical Device?lass 1,Ascent Brands Inc 6850 Southbelt Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394204&agid=(PrintDetailsPublic)&actionid=1
394132,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,19/08/2022,Medical Device?lass 1,Hangzhou Bioer Technology Co Ltd 1192 Bin An Rd ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394132&agid=(PrintDetailsPublic)&actionid=1
394131,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,19/08/2022,Medical Device?lass 1,Ascent Brands Inc 6850 Southbelt Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394131&agid=(PrintDetailsPublic)&actionid=1
394129,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,19/08/2022,Medical Device?lass IIb,,,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=394129&agid=(PrintDetailsPublic)&actionid=1
393752,IVD,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,10/8/2022,Medical Device?lass 1,CellPath Limited Unit 80 Mochdre Enterprise Park Newtown ,United Kingdom,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393752&agid=(PrintDetailsPublic)&actionid=1
393410,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,4/8/2022,Medical Device?lass IIa,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393410&agid=(PrintDetailsPublic)&actionid=1
393390,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,3/8/2022,Medical Device?lass IIa,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393390&agid=(PrintDetailsPublic)&actionid=1
393389,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,3/8/2022,Medical Device?lass IIb,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393389&agid=(PrintDetailsPublic)&actionid=1
393328,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,2/8/2022,Medical Device?lass IIa,Opsens Inc 750 Boulevard du Parc Technologique ,Canada,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393328&agid=(PrintDetailsPublic)&actionid=1
393191,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,1/8/2022,Medical Device?lass IIa,Tasso Inc 1631 15th Ave W Suite 105 Seattle ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393191&agid=(PrintDetailsPublic)&actionid=1
393075,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,29/07/2022,Medical Device?lass 1,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=393075&agid=(PrintDetailsPublic)&actionid=1
392840,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,26/07/2022,Medical Device?lass IIa,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392840&agid=(PrintDetailsPublic)&actionid=1
392837,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,26/07/2022,Medical Device?lass IIb,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392837&agid=(PrintDetailsPublic)&actionid=1
392635,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,22/07/2022,Medical Device?lass 1,MediThinQ Co Ltd Suite 106 35 Silicon Park Pangyoro 255 beon ,Korea - Republic of,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392635&agid=(PrintDetailsPublic)&actionid=1
392614,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,21/07/2022,Medical Device?lass IIa,OBP Medical Corporation DBA OBP Medical 360 Merrimack Street Building 9 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392614&agid=(PrintDetailsPublic)&actionid=1
392598,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,21/07/2022,Medical Device?lass 1,AccuVein Inc 3243 Route 112 Building 1 Suite 2 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392598&agid=(PrintDetailsPublic)&actionid=1
392596,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,21/07/2022,Medical Device?lass 1,Ascent Brands Inc 6850 Southbelt Drive ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392596&agid=(PrintDetailsPublic)&actionid=1
392391,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,18/07/2022,Medical Device?lass 1,Cortex Dental Implants Industries Ltd Ya'ara Street 26 ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392391&agid=(PrintDetailsPublic)&actionid=1
392271,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/07/2022,Medical Device?lass 1,Eon Dental Jordan (Free Zones) Road 7 General Storage Hanger #3 Jordan ,Jordan,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=392271&agid=(PrintDetailsPublic)&actionid=1
391633,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,1/7/2022,Medical Device?lass 1,Life Care Ltd 106 Hagiborim St ,Israel,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391633&agid=(PrintDetailsPublic)&actionid=1
391592,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,30/06/2022,Medical Device?lass 1,Winner Medical Co Ltd Winner Industrial Park No 660 Bulong Road ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391592&agid=(PrintDetailsPublic)&actionid=1
391561,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,30/06/2022,Medical Device?lass 1,Apyx Medical Corporation 5115 Ulmerton Road ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391561&agid=(PrintDetailsPublic)&actionid=1
391416,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,28/06/2022,Medical Device?lass 1,Nova Medical Inc 150 West Street Suite 201 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391416&agid=(PrintDetailsPublic)&actionid=1
391332,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,27/06/2022,Medical Device?lass IIa,uLab Systems Inc 1820 Gateway Drive Suite 300 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391332&agid=(PrintDetailsPublic)&actionid=1
391243,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,24/06/2022,Medical Device?lass III,Biocomposites Ltd Keele Science Park ,United Kingdom,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391243&agid=(PrintDetailsPublic)&actionid=1
391242,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,24/06/2022,Medical Device?lass III,Biocomposites Ltd Keele Science Park ,United Kingdom,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=391242&agid=(PrintDetailsPublic)&actionid=1
390947,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,20/06/2022,Medical Device?lass IIb,IntoCare Medical Technology (Suzhou) Co Ltd 203# Building NW-12 Nanopolis Suzhou ,China,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=390947&agid=(PrintDetailsPublic)&actionid=1
390331,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,14/06/2022,Medical Device?lass 1,uLab Systems Inc 1820 Gateway Drive Suite 300 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=390331&agid=(PrintDetailsPublic)&actionid=1
389750,Medical Devices,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,7/6/2022,Medical Device?lass IIb,Aerolase Corp 120 White Plains Road suite 515 ,United States Of America,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=389750&agid=(PrintDetailsPublic)&actionid=1
