Company Name,Company Address,City,State,Zip,Phone number,Web Address,Contact Name,Category
Tempur Sealy International Inc.,1000 Tempur Way,Lexington,KY,40511,(859) 455-1000,http://www.tempursealy.com,Steve Rusing,Home Textiles
"Gaucho Sheep & Leather Products, Inc.",5392 System Dr,Huntington Beach,CA,92649,(714) 892-8182,http://www.gauchosheepnleather.com/,Ernani Dorr,Home Textiles
Minna's by Beyond Cushions,PO BOX 7010,West Orange,NJ,07052,(404) 483-1733,http://www.beyondcushions.com,pankaj nagpal,Home Textiles
B S Trading Co,253 Loy St.,Burleson,TX,76028,(817) 447-4433,http://www.bstrading.com,Kenzie Ratterree,Home Textiles
Artnwordz,6205 Broadmoor Drive ,La Mesa,CA,91942,(760) 672-3663,http://www.artnwordz.com,Micha Kuechenhoff,Home Textiles
"American Furniture Alliance, Inc",9141 Arrow Route,Rancho Cucamonga,CA,91730,(909) 204-6077,http://www.afa3.com,Judy Chang,Home Textiles
Sweet Gumball Inc,5174 McGinnis Ferry #204,Alpharetta,GA,30005,(800) 286-7062,http://www.sweetgumball.com,Karen Olney,Home Textiles
ViscoSoft,2923 South Tryon St.,Charlotte,NC,28203,(401) 302-0772,http://viscosoft.com,Harry Costantino ,Home Textiles
Tufan Rugs,10877 Sanden Drive,Dallas,TX,75238,(713) 988-7779,http://www.tufanrugs.com,Sina Sadri,Home Textiles
South Bay International,"8570 Hickory Ave, Suite 150",Rancho Cucamonga,CA,91739,(909) 718-5000,http://www.southbayinternational.com,Angela Haiman,Home Textiles
Norwalk Furniture,100 Furniture Parkway,Norwalk,OH,44857-9587,(419) 744-3200,https://www.norwalkfurniture.com,Mary DeVincenzo,Home Textiles
CHANDRA,1067 Union Grove Road SE,Adairsville,GA,30103,(706) 624-4518,http://www.shopchandra.com,Ravi Tiwari,Home Textiles
Spaldin Natural Sleep,"176 Mine Lake Court, Ste 100",Raleigh,NC,27615,(516) 395-7833,https://www.spaldin.com/us/en/,Javier Fernandez,Home Textiles
Global Views,7301 Ambassador Row,Dallas,TX,75247,(214) 956-0030 x320,https://www.globalviews.com,Kara Fernandez,Home Textiles
BedInABox,1515 Carter St,Mount Airy,NC,27030,(800) 346-8229,https://www.bedinabox.com,Dan Manning,Home Textiles
UMA Home Decor,350 West Apra Street,Compton,CA,90220,(310) 631-1166,http://www.umainc.com,Gurdeep Malhi,Home Textiles
Meissenburg Designs,11890 Mt Hwy 83,Bigfork,MT,59911-6226,(406) 837-3005,http://www.oldwoodsigns.com,Joey Parham,Home Textiles
O.W. Lee Company,1206 Fifth Street,Comfort,TX,78013,(830) 267-9533,http://www.owlee.com,Brenda Pereyda,Home Textiles
KAS Rugs & Home,62 Veronica Ave,Somerset,NJ,08873,(800) 967-4254,http://www.kasrugs.com,Katie Pennington,Home Textiles
Melrose International,1400 N. 30th Street Suite 22,Quincy,IL,62305,(217) 222-2144,http://www.melroseintl.com,Brad Gullion,Home Textiles
Road Runners,2406 Prince St.,Bellmore,NY,11710,(888) 674-6349,https://roadrunnersllc.com/,Angela Schmook,Home Textiles
Little Birdie,P. O. Box 582,Calhoun City,MS,38916,(662) 628-4172,http://www.littlebirdiehome.com,Lyn  Blaylock,Home Textiles
The Futon Shop / TFS Sleep,2150 Cesar Chavez,San Francisco,CA,94124,(707) 396-9213,http://tfsleep.com,Christopher Bechtol,Home Textiles
Empire Art Direct,2645 Executive Park Drive Suite #225,Weston,FL,33331,(954) 385-3626,http://www.EmpireArtDirect.com,Gary Helman,Home Textiles
RAZ Imports Inc.,1020 Eden Rd,Arlington,TX,76001-7885,(817) 466-4729,http://www.razimports.com,,Home Textiles
Furniture of America,19605 E Walnut Drive N,Walnut,CA,91789,(866) 923-8500,http://www.foagroup.com,Rocky Young,Home Textiles
ABBIAMO TUTTO,PO Box 6624,McLean,VA,22106-6624,(703) 790-0172,http://www.e-abbiamotutto.com,Donna Marie Territo,Home Textiles
Mod Lounge Paper Company,8 S. Cove Drive,South Barrington,IL,60010,(847) 665-9872,https://www.wholesale.modloungepapercompany.com,Jennifer Caminiti,Home Textiles
KEVA Style + Created By,1818 Colwyn Bay Dr.,Midlothian,VA,23112-1720,(703) 201-8200,http://www.kevastyle.com,Ginny Ball,Home Textiles
Bloomingville,"6000 Freeport Ave, Suite 101",Memphis,TN,38141,(888) 852-2887,https://www.bloomingville.us/,Garry Schermann,Home Textiles
Vintage Addiction,1260 East Locust Street,Ontario,CA,91761,(909) 930-9994,http://www.vintage-addiction.com,Alesia Longenderfer,Home Textiles
Primeware,P.O. Box 867388,Plano,TX,75086,(714) 556-1588,http://www.primewareinc.com,Tony Thai,Home Textiles
KALALOU,3844 W. Northside Dr.,Jackson,MS,39209-2559,(601) 366-4229,http://www.kalalou.com,Bradley Adair,Home Textiles
Area West,"495 S. Grand Central Pkwy, Suite A100, A106",Las Vegas,NV,89106,(702) 362-7600,http://www.areawestshowroom.com,Leslie Farcy,Home Textiles
Fine Lines,1933 S Broadway Suite 449,Los Angeles,CA,90007,(213) 748-4475,http://www.finelinescompany.com,Angela Gordon,Home Textiles
Guardsman,PO Box 88010,Grand Rapids,MI,49518,(972) 679-7335,http://guardsman.com,Kerry Lawless,Home Textiles
Central Oriental,155 Brookside Ave.,West Warwick,RI,02893,(401) 828-0300,http://www.centraloriental.com,James Thompson,Home Textiles
F.E.M. Sales,P.O. BOX 8813,CALABASAS,CA,91742,(800) 284-0226,https://www.femsalesinc.com/,Pauline Nunez,Home Textiles
The Moroccan Market,2535 S Las Vegas Blvd.,Las Vegas,NV,89109,32486043712,https://www.moroccan-market.us,Nawfel El Abbassy,Home Textiles
Union Home,909 Davis Street ,Evanston,IL,60201,(410) 988-2228,https://unionhomefurniture.com,Brian Thompson,Home Textiles
Potluck Press,920 South Bayview Street,Seattle,WA,98134,(206) 328-1300,http://www.potluckpress.com,Rosie Chheang,Home Textiles
Humboldt Artisans Group,100 H Street #202,Eureka,CA,95501,(707) 832-4745,http://www.humboldtartisansroup.com,Jim Christensen,Home Textiles
Tinte Cosmetics,PO Box 110694,Lakewood Ranch,FL,34211,(305) 793-0399,https://www.tintecosmetics.com,Stacy Reid,Home Textiles
Twisted Tomboy,4320 West Eaglerock Pl,Wenatchee,WA,98801,(509) 665-6479,https://www.twistedtomboy.com/ & https://www.mademanshowerandshave.com,Eric Slife,Home Textiles
ILLUME,2000 W. 94th St.,Bloomington,MN,55431,(888) 245-5863,http://www.illumecandles.com,Natalie Schaefer,Home Textiles
NEST Fragrances,3 East 54th St. 5th Floor,New York,NY,10022,(212) 759-0047,http://www.nestfragrances.com,Melissa Spina,Home Textiles
Kaleen Rugs,1013 Bonny Oaks Drive,Dalton,GA,30722-1053,(888) 452-5336,http://www.kaleen.com,Monty Rathi,Home Textiles
MATCH,8 Hope St,Jersey City,NJ,07307-1306,(201) 792-9444,http://www.match1995.com,Angie Lindenberg,Home Textiles
"PAR KER made, LLC",10838 enara St.,San Diego,CA,92126,6198225133,https://www.parkermadeshop.com,,Home Textiles
Hester & Cook,"2728 Eugenia Ave, Suite 106",Nashville,TN,37211,(615) 736-2892,http://wholesale.hesterandcook.com,Ginny Crum,Home Textiles
Be Home,1065 Broadway Ave,San Pablo,CA,94806,(510) 848-5060,https://www.wholesale.behome.com,Jonathan Hankar,Home Textiles
Costa Nova & Casafina,301 Fields Lane,Brewster,NY,10509-2621,(845) 277-5700,http://www.costanova.com,Matt Hullfish,Home Textiles
Dreamfit,2125 2nd Ave SW,Cullman,AL,35055,(256) 734-3937,http://www.dreamfit.com,Chris Taheny,Home Textiles
Prairie Dance Metal Art,"401 E 8th Street, #118",Sioux Falls,SD,57103,(605) 496-7160,http://www.prairiedancewholesale.com,Brooke Sturve,Home Textiles
Serene House,900 Kings HIghway North,Cherry Hill,NJ,08034,(856) 673-4117,http://www.serenehouseusa.com,Michael Jeansson,Home Textiles
VIP Home & Garden,2590 Mercantile Dr. Suite C,Rancho Cordova,CA,95742-6244,(916) 638-5802,http://www.viphomeandgarden.com,Mark Tuttle,Home Textiles
The Mood,10220 Philadelphia Ct,Rancho Cucamonga,CA,91730,(909) 373-1880,https://www.themooddecor.com/,Teresa Zhu,Home Textiles
Lakegirl,750 Randolph Rd,Detroit Lakes,MN,56501,(218) 847-2171,https://www.lakegirl.com/pages/wholesale,Melissa Johnson,Home Textiles
Boccuzzi Group SRL,"Via Bruxelles, 11-76011",Bisceglie (BT),,,(315) 886-6144,https://www.boccuzzihome.com,Harry Goodman,Home Textiles
Sugarboo & Co.,5945 Shiloh Road,Alpharetta,GA,30005,(770) 643-0069,https://wholesale.sugarbooandco.com/,Mary Woodard,Home Textiles
Cose Nuove,6887 Washington Avenue South,Edina,MN,55439,(952) 767-3668,http://www.cosenuove.com,Mark Bretheim,Home Textiles
katzpajamas,,San Diego,CA,,(951) 956-7993,http://katzpajamas.com,,Home Textiles
El Arroyo,1616 W 5th Street,Austin,TX,78703,(512) 843-7093,http://www.elarroyo.com,,Home Textiles
SKYROS DESIGNS,211 Cumberland Street,Memphis,TN,38112,(901) 762-0377,http://www.skyrosdesigns.com,Diana Duffy Thompson,Home Textiles
Annie Sloan Interiors,300 Lafayette St.,New Orleans,LA,70130,(504) 442-1390,http://www.anniesloan.com,Amanda Ficek,Home Textiles
Rene Cazares,1111 S Jellick Ave,City Of Industry,CA,91748,(626) 964-4100,http://www.renecazares.com,Rene Cazares,Home Textiles
Jitana,9601 Cozycroft Ave,Chatsworth,CA,91311,(818) 441-1204,http://www.shopjitana.com,Denise Hernandez,Home Textiles
Berit Brooks,PO Box 17442,Denver,CO,80217,(303) 478-8867,https://www.beritbrooks.com/,Jennifer Borré,Home Textiles
Shivam,"C-205, Sarvodhaya Enclave","New Delhi, Delhi",,110017,00919350808472,,,Home Textiles
Healthguard,"45 Connie Crescent, Units A&B",Concord,ON,L4K 1L3,(437) 388-3695,http://www.healthguard.com,Ryan Cleary,Home Textiles
NCFI Polyurethanes,1515 Carter Street,Mt Airy,NC,27030,(800) 346-8229 x2307,http://www.ncfi.com,Chris Bradley,Home Textiles
MC,1525 W. 2960 S.,Logan,UT,84321,(888) 910-0234,https://www.maloufcompanies.com,Bryce Larsen,Home Textiles
BODRUM,"119 W 23rd St, Suite 704",New York,NY,10011,(212) 524-2505,http://www.bodrumlinens.com,Nolan Winter,Home Textiles
Kiss That Frog,2310 4th St,Berkeley,CA,94710-2402,(510) 524-7611,http://www.kissthatfrog.com,Kat Taylor Simonyi,Home Textiles
Blomus / SKS USA,2412 E Main St,Olney,IL,62450-3329,(618) 395-2400,http://www.blomus.us,Dotti Spillman,Home Textiles
Swahili African Modern,388 E 3rd Ave,Eugene,OR,97401,(541) 684-0688,https://www.swahiliwholesale.com,Leslie Mittelberg,Home Textiles
Mierco European Linens,128 4th St N,Cannon Falls,MN,55009,(888) 277-8838,http://www.mierco.com,Mary Althoff,Home Textiles
"Inspired Peru, LLC",1177 Branham Lane,San Jose,CA,95118,(650) 450-1382,https://www.inspiredperu.com,Carlos Arias,Home Textiles
Earth View Inc.,6800 N. Camino Martin #166,Tucson,AZ,85741,(800) 386-9165,http://www.earthviewinc.com,Steve Williams,Home Textiles
Keikico,5354 Fallbrook Ave,Woodland Hills,CA,91367,(818) 599-6008,http://www.keikico.com,Renee Lipp,Home Textiles
Chesterfield Leather,207 Carter Drive,West Chester,PA,19382,(215) 278-6200,http://www.chesterfieldleather.com,Daniel Felman,Home Textiles
Atenti,3520 Foothill Ave,La Crescenta,CA,91214-3134,(818) 248-8459,http://atentiwholesale.com/,James Sbardellati,Home Textiles
HARP & FINIAL,8474 Market Place Drive Suite 104,Southaven,MS,38671,(662) 996-1878,http://www.harpandfinial.com,Lauren Christmann,Home Textiles
Loloi Rugs,4501 Spring Valley Rd,Dallas,TX,75244-3706,(972) 503-5656,http://www.loloirugs.com,Cyrus Loloi,Home Textiles
Torre & Tagus,150 - 11188 Featherstone Way,Richmond,BC,V6W 1K9,(604) 273-4777,http://www.torretagus.com,Tim Kroetsch,Home Textiles
Howard Elliott Collection,200A S Mitchell Ct,Addison,IL,60101,(630) 871-1122,http://www.howardelliott.com,Colleen Daly,Home Textiles
Safavieh,"495 S. Grand Central Pkwy, Suite A101",Las Vegas,NV,89106,(702) 380-3224,http://www.safavieh.com,Ria Reyes,Home Textiles
Kendrick Home,200 N. Locust St.,Edgewood,IA,52042,(563) 928-6433,https://www.kendrickhome.net/,Cory  Sperfslage,Home Textiles
Avery Lane Gifts,16344 Pineview Rd,Santa Clarita,CA,91387,(661) 430-6801,http://www.averylanegifts.com,Linda Lyznick,Home Textiles
The Global Trunk,5370 West Adams Blvd,Los Angeles,CA,90016,(323) 433-7170,https://www.theglobaltrunk.com/,Anabella Ko,Home Textiles
Kinfine USA Inc,13824 Yorba ave,Chino,CA,91710,(909) 802-8790,,Liang Gao,Home Textiles
Young's Inc.,5073 N Ann Arbor Rd,Dundee,MI,48131-9759,(734) 529-9330,http://www.youngsinc.com,Phanindra Parlapalli,Home Textiles
Blue Ridge Home Fashions,15761 Tapia Street,Irwindale,CA,91706,(626) 960-6069 x105,http://blueridgehome.com,Mark Schwartz,Home Textiles
Diamond Mattress,3112 E. Las Hermanas St,Rancho Dominguez,CA,90221-5578,(310) 638-0363,https://www.diamondmattress.com,Patrick Wolf,Home Textiles
PureCare,1402 S 40th Ave,Phoenix,AZ,85009,(800) 758-8563,http://www.PureCare.com,Sarah Bergman,Home Textiles
ProtectAll/Healthy Sleep,"9151 Boulevard 26, Suite 100B",North Richland Hills,TX,76180,(800) 999-5219,http://www.myprotectall.com,Lara Dolloff,Home Textiles
Electropedic / Body Sense,637 4th St,San Fernando,CA,91340-2432,(818) 365-6616,http://buyelectropedic.com,Philip Kraus,Home Textiles
Malouf,1525 W 2960 S,Logan,UT,84321,(800) 517-7179,http://www.maloufsleep.com,Scott Carr,Home Textiles
Widafouta,849 rue Favre de Saint Castor,Montpellier,,34080,33612174383,http://www.widafouta.com,Bernard Chouraqui,Home Textiles
Viverano,6390 Montessouri St,Las Vegas,NV,89113,(702) 202-3001,http://www.Viverano.com,Karan Garg,Home Textiles
Monahan Papers,10928 Channelside Drive,Gulfport,MS,39503,(636) 528-2767,http://www.monahanpapers.com,Stephanie Monahan,Home Textiles
MUkitchen,5310 West 23rd St. Ste 120,Saint Louis Park,MN,55415,(952) 977-9661,http://www.mukitchen.com,Jennifer Ellis,Home Textiles
Design Imports,PO Box 58244,Seattle,WA,98138,(425) 970-6500,http://www.designimports.com,Amy Johnson,Home Textiles
"Primitives By Kathy, Inc.",1817 William Penn Way,Lancaster,PA,17601-5830,(866) 295-2849,http://www.primitivesbykathy.com,Lisa Kauffman,Home Textiles
Andreas,14 West Elm Street,Tamaqua,PA,18252,(570) 668-1118,http://www.andreastrivets.com,Shirley Szabo,Home Textiles
Pendleton Woolen Mills,220 NW Broadway,Portland,OR,97209-3509,(503) 347-1901,http://www.pendleton-usa.com,,Home Textiles
Couleur Nature & Lothantique,6078 Corte Del Cedro Ste B,Carlsbad,CA,92011,(858) 513-1564,http://www.couleurnature.com / http://www.lothantique.ca,Keillan Mullin,Home Textiles
Saro,3333 West Pacific Avenue,Burbank,CA,91505-1553,(818) 846-3314,http://www.saro.com,Kev Kalenderian,Home Textiles
D.V. KAP Home,426 W. Bedford Ave,Fresno,CA,93711-6858,(559) 435-5575,https://dvkap.com/,,Home Textiles
House of Cindy Inc.,628 East 62nd St.,Los Angeles,CA,90001,(213) 804-1444,http://www.houseofcindy.com,Cindy Ciskowski,Home Textiles
Cozy Earth - Premium Bamboo Bedding,10356 S. Crow Wing Dr.,South Jordan,UT,84095-5053,(855) 222-2699,http://www.cozyearth.com,Tyler Howells,Home Textiles
Classic Home,4505 Bandini Blvd,Vernon,CA,90058,(800) 258-2229,http://www.classichome.com,Nicole Logan,Home Textiles
BEDGEAR Performance Bedding,200 Sea Lane,Farmingdale,NY,11735,(631) 414-7758,http://www.bedgear.com,Christopher Leary,Home Textiles
Bettencourt Group,501 S. Lucile Street Ste 102,Seattle,WA,98108,(206) 849-9199,http://www.bettencourtgroup.com,Elissa Travers,Home Textiles
"Alphie and Ollie, LLC",603 Haycock Run Rd.,Kintnersville,PA,18930,2157045219,https://www.alphieandollie.com,,Home Textiles
JLA Home - Olliix.com,45875 Northport Loop East,Fremont,CA,94538,(855) 842-4358,https://www.olliix.com/pt/ma,Marisol Garfias,Home Textiles
Decorum Home,2809 Garfield Road,Tacoma,WA,98403,(253) 302-4356,http://www.deluxedecorum.com,Jennifer Colley,Home Textiles
Jordan Manufacturing,1200 S. 6th Street,Monticello,IN,47960,(800) 328-6522,http://www.jordanmanufacturing.com,Toni Kensinger,Home Textiles
Southshore Fine Linens,"4004 W Cheyenne Ave, Ste 130",North Las Vegas,NV,89032,(702) 463-1475,https://2012textiles.com,,Home Textiles
Ever Desi,"F-1902, Sunshine Helios, Sector 78, Noida",Uttar Pradesh,,201301,0091 8447070593,https://everdesi.in/,Ekta Agarwal,Home Textiles
CODARUS,1025 N Stemmons Freeway,Dallas,TX,75207,(800) 755-5144,http://www.codarus.com,Cody Ables,Home Textiles
"Heritage Lace, Inc.",309 South Street,Pella,IA,50219,(641) 628-4949,http://www.heritagelace.com,Heritage Lace,Home Textiles
Collective Home,"455 S. Grand Central Parkway, Suite C585",Las Vegas,NV,89106,(678) 215-4571,http://www.collectivehomereps.com,Susan Thoen,Home Textiles
County Road,35-2512 Hudson Street,Jersey City,NJ,07302,(201) 984-2113,http://www.countyroadusa.com,Bryan Parker,Home Textiles
AICO/Michael Amini,8725 Rex Rd,Pico Rivera,CA,90660-6703,(562) 222-2500,http://www.amini.com,Darla Lester,Home Textiles
Talla Imports,10812 Normandale Blvd ,Bloomington,MN,55437,(952) 933-7755,http://www.tallaimports.com,Missy Rasmussen,Home Textiles
Filling Spaces,12878 NW Hartford st,portland,OR,97229,(503) 222-2028,http://www.fillingspaces.com,Deepali Kalia,Home Textiles
Nourison,5 Sampson St,Saddle Brook,NJ,07663-5911,(201) 368-6900,http://www.nourison.com,Sam Azhadi,Home Textiles
"Sales Producers, Inc.","World Market Center, Showroom C1044",Las Vegas,NV,89106,(800) 346-9613,http://www.salesproducersinc.com,Bonnie Glushon,Home Textiles
Avasa Home,60 South Street,Hingham,MA,02043,(781) 783-6695,http://www.avasahome.com,Joanna Sood,Home Textiles
Blu Sleep Products,"1501 Green Rd, Suite B",Pompano Beach,FL,33064,(844) 421-0101,http://www.myblusleep.com,Elizabeth Dell'Accio,Home Textiles
Yatas Bedding,PO BOX 1727,High Point,NC,27261,(336)-307-4503,https://www.yatasbeddingusa.com,Ryan Christensen,Home Textiles
Kinara,24325 Crenshaw Blvd. #159,Torrance,CA,90505,(424) 275-8080,,Monty Ahluwalia,Home Textiles
C & F Enterprises,819 Bluecrab Rd,Newport News,VA,23606-4220,(757) 310-6100,http://www.cnfei.com,Colleen Hall,Home Textiles
French Graffiti,849 Pickens Industrial Dr,Marietta,GA,30062,(770) 321-6611,http://www.frenchgraffiti.com,Susan Kolowich,Home Textiles
